HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
80734,"71-80","w",2,"24","Basset Griffon vendéen",,,,"I",2005,"w","zobel/weiss"
80735,"51-60","w",12,"122","Golden Retriever",,,,"I",2010,"w","blondfarben"
80746,"71-80","w",7,"71","Dachshund",,,,"K",2000,"w","saufarben"
80753,"71-80","m",9,"92","Mischling klein",,,,"K",2011,"w","braun"
80755,"61-70","w",9,"91","West Highland White Terrier",,,,"K",2012,"w","weiss"
80758,"81-90","w",2,"24","Labrador Retriever",,,,"I",2001,"w","schwarz"
80760,"61-70","w",7,"74","Irish Setter",,"Spaniel",,"I",2000,"m","rot"
80761,"61-70","m",11,"115","Appenzeller Sennenhund",,,,"I",2011,"w","tricolor"
80761,"61-70","m",11,"115","Appenzeller Sennenhund",,,,"I",2008,"m","tricolor"
80762,"51-60","w",11,"111","Golden Retriever",,,,"I",2009,"m","golden"
80763,"71-80","w",7,"74","Hovawart",,,,"I",2007,"m","blondfarben"
80767,"61-70","w",9,"92","Beagle",,,,"K",2012,"m","tricolor"
80778,"51-60","m",2,"23","Yorkshire Terrier",,,,"K",2014,"w","schwarz/braun"
80797,"71-80","w",2,"24","Shih Tzu",,,,"K",2009,"m","tricolor"
80835,"71-80","w",7,"73","Malteser",,,,"K",2013,"w","weiss"
80838,"71-80","w",7,"71","Toypudel",,,,"K",2013,"w","schwarz"
80840,"51-60","w",10,"101","Dalmatiner","Mischling",,,"I",2012,"m","schwarz/weiss"
80843,"61-70","w",5,"51","Toypudel",,,,"K",2001,"m","schwarz"
80847,"71-80","m",9,"91","Beagle",,,,"K",2006,"w","tricolor"
80849,"61-70","m",11,"119","Labrador Retriever",,"Border Collie",,"I",2002,"w","schwarz/weiss"
80853,"51-60","w",12,"122","Labradoodle",,,,"I",2015,"w","schwarz"
